datetime,count,mean,std,min,25%,50%,75%,max
2022-08-08 00:00:00,0.0,,,,,,,
2022-08-09 00:00:00,0.0,,,,,,,
2022-08-10 00:00:00,0.0,,,,,,,
2022-08-11 00:00:00,0.0,,,,,,,
2022-08-12 00:00:00,0.0,,,,,,,
2022-08-13 00:00:00,0.0,,,,,,,
2022-08-14 00:00:00,0.0,,,,,,,
2022-08-15 00:00:00,102.0,150.54901960784315,61.36865188899688,20.0,150.0,180.0,180.0,298.0
2022-08-16 00:00:00,100.0,104.46,43.21882773406829,20.0,110.0,120.0,120.0,298.0
2022-08-17 00:00:00,100.0,104.46,43.21882773406829,20.0,110.0,120.0,120.0,298.0
2022-08-18 00:00:00,99.0,104.17171717171718,42.89832316879883,20.0,110.0,120.0,120.0,288.0
2022-08-19 00:00:00,95.0,103.50526315789472,43.67453946564743,20.0,110.0,120.0,120.0,288.0
2022-08-20 00:00:00,95.0,103.50526315789472,43.67453946564743,20.0,110.0,120.0,120.0,288.0
2022-08-21 00:00:00,95.0,103.50526315789472,43.67453946564743,20.0,110.0,120.0,120.0,288.0
2022-08-22 00:00:00,91.0,102.78021978021978,44.49289636130498,20.0,110.0,120.0,120.0,288.0
2022-08-23 00:00:00,89.0,102.3932584269663,44.919022589526215,20.0,110.0,120.0,120.0,288.0
2022-08-24 00:00:00,90.0,102.77777777777776,44.470108071154655,20.0,110.0,120.0,120.0,280.0
2022-08-25 00:00:00,88.0,108.92045454545456,32.646212781675246,55.0,110.0,120.0,120.0,280.0
2022-08-26 00:00:00,86.0,108.77906976744184,33.005668376914294,55.0,110.0,120.0,120.0,280.0
2022-08-27 00:00:00,89.0,125.78651685393258,94.89497447059712,55.0,110.0,120.0,120.0,600.0
2022-08-28 00:00:00,88.0,125.9318181818182,95.37907376148472,55.0,110.0,120.0,120.0,600.0
2022-08-29 00:00:00,88.0,125.9318181818182,95.37907376148472,55.0,110.0,120.0,120.0,600.0
2022-08-30 00:00:00,87.0,126.0,95.9298435510083,55.0,110.0,120.0,120.0,600.0
2022-08-31 00:00:00,87.0,126.0,95.9298435510083,55.0,110.0,120.0,120.0,600.0
2022-09-01 00:00:00,86.0,126.04651162790698,96.35753360171556,55.0,112.5,120.0,120.0,600.0
2022-09-02 00:00:00,86.0,126.04651162790698,96.35753360171556,55.0,112.5,120.0,120.0,600.0
2022-09-03 00:00:00,85.0,126.11764705882354,96.92712183273945,55.0,110.0,120.0,120.0,600.0
2022-09-04 00:00:00,80.0,126.5,99.93478886412106,55.0,110.0,120.0,120.0,600.0
2022-09-05 00:00:00,76.0,126.84210526315788,102.55353758001446,55.0,110.0,120.0,120.0,600.0
2022-09-06 00:00:00,73.0,127.0958904109589,104.64479128933186,55.0,110.0,120.0,120.0,600.0
2022-09-07 00:00:00,70.0,127.68571428571428,106.85077537742887,55.0,102.5,120.0,120.0,600.0
2022-09-08 00:00:00,70.0,126.61428571428571,107.50642621266245,25.0,68.75,120.0,120.0,600.0
2022-09-09 00:00:00,65.0,127.27692307692308,111.593361654646,25.0,55.0,120.0,120.0,600.0
2022-09-10 00:00:00,65.0,127.27692307692308,111.593361654646,25.0,55.0,120.0,120.0,600.0
2022-09-11 00:00:00,65.0,127.27692307692308,111.593361654646,25.0,55.0,120.0,120.0,600.0
2022-09-12 00:00:00,63.0,127.34920634920636,113.38887678424288,25.0,55.0,120.0,120.0,600.0
2022-09-13 00:00:00,63.0,127.33333333333331,113.38174171725672,25.0,55.0,120.0,120.0,600.0
2022-09-14 00:00:00,62.0,127.4516129032258,114.30340376432363,25.0,55.0,120.0,120.0,600.0
2022-09-15 00:00:00,59.0,126.864406779661,117.03189332873129,25.0,55.0,120.0,120.0,600.0
2022-09-16 00:00:00,57.0,127.10526315789474,119.09610228276728,25.0,55.0,120.0,120.0,600.0
2022-09-17 00:00:00,57.0,127.10526315789474,119.09610228276728,25.0,55.0,120.0,120.0,600.0
2022-09-18 00:00:00,54.0,127.6851851851852,122.3886207674606,25.0,55.0,120.0,120.0,600.0
2022-09-19 00:00:00,50.0,128.3,127.26563093123976,25.0,55.0,120.0,120.0,600.0
2022-09-20 00:00:00,49.0,126.59183673469389,124.435545291419,25.0,55.0,120.0,120.0,582.0
2022-09-21 00:00:00,46.0,127.2391304347826,128.4834939303893,25.0,55.0,120.0,120.0,582.0
2022-09-22 00:00:00,46.0,127.2391304347826,128.4834939303893,25.0,55.0,120.0,120.0,582.0
2022-09-23 00:00:00,46.0,127.2391304347826,128.4834939303893,25.0,55.0,120.0,120.0,582.0
